"Species","Habitat","Historical land use","IndVal.g","p.value"
"Achillea setacea","Dry grasslands","Arable land",0.1723,0.003
"Aesculus hippocastanum","Dry grasslands","Arable land",0.0248,0.97
"Allium sphaerocephalon","Dry grasslands","Arable land",0.1019,0.064
"Allium vineale","Dry grasslands","Arable land",0.0587,0.362
"Anthemis ruthenica","Dry grasslands","Arable land",0.0522,0.46
"Armeria maritima","Dry grasslands","Arable land",0.1389,0.041
"Arnoseris minima","Dry grasslands","Arable land",0.0379,0.478
"Artemisia austriaca","Dry grasslands","Arable land",0.0283,0.894
"Artemisia santonicum","Dry grasslands","Arable land",0.0379,0.456
"Asperula cynanchica","Dry grasslands","Arable land",0.3495,0.001
"Astragalus austriacus","Dry grasslands","Arable land",0.1702,0.007
"Astragalus exscapus","Dry grasslands","Arable land",0.1212,0.021
"Bassia laniflora","Dry grasslands","Arable land",0.0365,0.589
"Brachypodium pinnatum","Dry grasslands","Arable land",0.3037,0.001
"Brachypodium rupestre","Dry grasslands","Arable land",0.0379,0.485
"Campanula rotundifolia","Dry grasslands","Arable land",0.2075,0.001
"Carlina acaulis","Dry grasslands","Arable land",0.2691,0.001
"Caucalis platycarpos","Dry grasslands","Arable land",0.0499,0.531
"Centaurea thuillieri","Dry grasslands","Arable land",0.061,0.399
"Cerastium tomentosum","Dry grasslands","Arable land",0.0379,0.474
"Cerinthe minor","Dry grasslands","Arable land",0.0648,0.323
"Cirsium acaulon","Dry grasslands","Arable land",0.0304,0.833
"Crambe tataria","Dry grasslands","Arable land",0.1455,0.009
"Crataegus rhipidophylla","Dry grasslands","Arable land",0.0379,0.472
"Crepis pannonica","Dry grasslands","Arable land",0.0462,0.388
"Cyanus segetum","Dry grasslands","Arable land",0.0279,0.865
"Cytisus albus","Dry grasslands","Arable land",0.0659,0.217
"Cytisus austriacus","Dry grasslands","Arable land",0.166,0.007
"Cytisus procumbens","Dry grasslands","Arable land",0.1413,0.01
"Cytisus ratisbonensis","Dry grasslands","Arable land",0.2021,0.001
"Dactylorhiza viridis","Dry grasslands","Arable land",0.0379,0.493
"Draba verna aggr.","Dry grasslands","Arable land",0.1534,0.038
"Epipactis atrorubens","Dry grasslands","Arable land",0.0676,0.264
"Erigeron acris","Dry grasslands","Arable land",0.1061,0.057
"Erysimum repandum","Dry grasslands","Arable land",0.0563,0.451
"Euphrasia pectinata","Dry grasslands","Arable land",0.1028,0.031
"Festuca filiformis","Dry grasslands","Arable land",0.0686,0.373
"Festuca stricta subsp. trachyphylla","Dry grasslands","Arable land",0.0783,0.202
"Fragaria viridis","Dry grasslands","Arable land",0.203,0.004
"Galium verum","Dry grasslands","Arable land",0.2827,0.001
"Galium x pomeranicum","Dry grasslands","Arable land",0.042,0.696
"Gentiana cruciata","Dry grasslands","Arable land",0.068,0.256
"Gentiana pannonica","Dry grasslands","Arable land",0.0384,0.844
"Gentianella aspera","Dry grasslands","Arable land",0.0379,0.472
"Gentianella ciliata","Dry grasslands","Arable land",0.0747,0.126
"Helianthemum canum","Dry grasslands","Arable land",0.1163,0.019
"Helictotrichon desertorum","Dry grasslands","Arable land",0.0716,0.258
"Herniaria glabra","Dry grasslands","Arable land",0.0486,0.703
"Hieracium laevigatum","Dry grasslands","Arable land",0.0325,0.861
"Hieracium sabaudum","Dry grasslands","Arable land",0.0842,0.211
"Hirschfeldia incana","Dry grasslands","Arable land",0.0379,0.474
"Hylotelephium telephium","Dry grasslands","Arable land",0.0562,0.434
"Hypericum perforatum","Dry grasslands","Arable land",0.2445,0.001
"Inula conyzae","Dry grasslands","Arable land",0.0803,0.206
"Iris humilis","Dry grasslands","Arable land",0.0838,0.126
"Jacobaea vulgaris","Dry grasslands","Arable land",0.1535,0.007
"Juniperus communis subsp. communis","Dry grasslands","Arable land",0.064,0.378
"Knautia kitaibelii","Dry grasslands","Arable land",0.2307,0.001
"Koeleria glauca","Dry grasslands","Arable land",0.1119,0.012
"Koeleria pyramidata","Dry grasslands","Arable land",0.1959,0.004
"Krascheninnikovia ceratoides","Dry grasslands","Arable land",0.0536,0.206
"Lathyrus hirsutus","Dry grasslands","Arable land",0.0364,0.534
"Lathyrus pannonicus","Dry grasslands","Arable land",0.0854,0.108
"Leopoldia comosa","Dry grasslands","Arable land",0.1256,0.021
"Linum catharticum","Dry grasslands","Arable land",0.2258,0.001
"Marrubium vulgare","Dry grasslands","Arable land",0.0306,0.79
"Medicago prostrata","Dry grasslands","Arable land",0.0718,0.229
"Melilotus albus","Dry grasslands","Arable land",0.0437,0.678
"Minuartia rubra","Dry grasslands","Arable land",0.1074,0.058
"Nigella arvensis","Dry grasslands","Arable land",0.0798,0.134
"Nonea pulla","Dry grasslands","Arable land",0.156,0.002
"Onobrychis arenaria","Dry grasslands","Arable land",0.1608,0.019
"Orchis militaris","Dry grasslands","Arable land",0.1126,0.04
"Ornithogalum pyramidale","Dry grasslands","Arable land",0.0434,0.412
"Orobanche alsatica","Dry grasslands","Arable land",0.054,0.386
"Orobanche artemisiae-campestris","Dry grasslands","Arable land",0.0379,0.486
"Phleum phleoides","Dry grasslands","Arable land",0.2348,0.001
"Pilosella bauhini","Dry grasslands","Arable land",0.1534,0.008
"Pilosella officinarum","Dry grasslands","Arable land",0.2179,0.007
"Pimpinella saxifraga","Dry grasslands","Arable land",0.2849,0.001
"Plantago media","Dry grasslands","Arable land",0.2338,0.002
"Polygala comosa","Dry grasslands","Arable land",0.1361,0.032
"Polygonatum multiflorum","Dry grasslands","Arable land",0.0536,0.193
"Potentilla heptaphylla","Dry grasslands","Arable land",0.1771,0.005
"Potentilla pusilla","Dry grasslands","Arable land",0.1076,0.042
"Potentilla tabernaemontani","Dry grasslands","Arable land",0.1902,0.004
"Prunella grandiflora","Dry grasslands","Arable land",0.1517,0.02
"Prunus cerasus","Dry grasslands","Arable land",0.0476,0.508
"Pulsatilla vulgaris","Dry grasslands","Arable land",0.1396,0.03
"Rosa gallica","Dry grasslands","Arable land",0.0878,0.102
"Salvia officinalis","Dry grasslands","Arable land",0.0536,0.216
"Scabiosa canescens","Dry grasslands","Arable land",0.1933,0.001
"Scabiosa ochroleuca","Dry grasslands","Arable land",0.2768,0.001
"Scorzonera cana","Dry grasslands","Arable land",0.0603,0.308
"Scorzonera laciniata","Dry grasslands","Arable land",0.0673,0.247
"Sempervivum tectorum","Dry grasslands","Arable land",0.1651,0.003
"Setaria viridis","Dry grasslands","Arable land",0.0717,0.261
"Silene noctiflora","Dry grasslands","Arable land",0.0373,0.641
"Sisymbrium altissimum","Dry grasslands","Arable land",0.0665,0.237
"Stipa pulcherrima","Dry grasslands","Arable land",0.1684,0.001
"Taraxacum serotinum","Dry grasslands","Arable land",0.1001,0.065
"Tephroseris integrifolia","Dry grasslands","Arable land",0.0843,0.127
"Thesium dollineri","Dry grasslands","Arable land",0.0692,0.226
"Thymus odoratissimus aggr.","Dry grasslands","Arable land",0.2788,0.001
"Thymus pulegioides","Dry grasslands","Arable land",0.1882,0.007
"Verbascum phoeniceum","Dry grasslands","Arable land",0.1321,0.026
"Veronica prostrata","Dry grasslands","Arable land",0.1921,0.001
"Vicia dumetorum","Dry grasslands","Arable land",0.0379,0.48
"Vicia lutea","Dry grasslands","Arable land",0.0379,0.462
"Viola collina","Dry grasslands","Arable land",0.0607,0.386
"Viola rupestris","Dry grasslands","Arable land",0.121,0.038
"Vulpia myuros","Dry grasslands","Arable land",0.0473,0.502
"Agrostis capillaris","Mesic grasslands","Arable land",0.3424,0.001
"Alchemilla monticola","Mesic grasslands","Arable land",0.2431,0.001
"Alchemilla vulgaris aggr.","Mesic grasslands","Arable land",0.2084,0.001
"Anagallis arvensis","Mesic grasslands","Arable land",0.1784,0.001
"Anagallis foemina","Mesic grasslands","Arable land",0.1116,0.036
"Aquilegia atrata","Mesic grasslands","Arable land",0.0469,0.274
"Asclepias syriaca","Mesic grasslands","Arable land",0.0356,0.648
"Astrantia major","Mesic grasslands","Arable land",0.0505,0.619
"Barbarea vulgaris","Mesic grasslands","Arable land",0.08,0.119
"Betula pendula","Mesic grasslands","Arable land",0.1021,0.09
"Botrychium matricariifolium","Mesic grasslands","Arable land",0.1186,0.011
"Campanula scheuchzeri","Mesic grasslands","Arable land",0.0469,0.296
"Carduus defloratus aggr.","Mesic grasslands","Arable land",0.0417,0.446
"Centaurium erythraea","Mesic grasslands","Arable land",0.0639,0.409
"Cirsium vulgare","Mesic grasslands","Arable land",0.1456,0.005
"Crepis tectorum","Mesic grasslands","Arable land",0.036,0.666
"Cynosurus cristatus","Mesic grasslands","Arable land",0.2096,0.001
"Danthonia decumbens","Mesic grasslands","Arable land",0.093,0.22
"Daucus carota","Mesic grasslands","Arable land",0.3348,0.001
"Dianthus armeria","Mesic grasslands","Arable land",0.0346,0.724
"Dianthus deltoides","Mesic grasslands","Arable land",0.1926,0.002
"Dianthus superbus","Mesic grasslands","Arable land",0.0656,0.332
"Echinops sphaerocephalus","Mesic grasslands","Arable land",0.0512,0.57
"Elytrigia repens aggr.","Mesic grasslands","Arable land",0.1788,0.041
"Equisetum ramosissimum","Mesic grasslands","Arable land",0.0432,0.615
"Eragrostis minor","Mesic grasslands","Arable land",0.0369,0.584
"Euphrasia rostkoviana","Mesic grasslands","Arable land",0.1293,0.016
"Fallopia convolvulus","Mesic grasslands","Arable land",0.1141,0.042
"Fumaria officinalis","Mesic grasslands","Arable land",0.0909,0.065
"Gentianella austriaca","Mesic grasslands","Arable land",0.07,0.293
"Geranium phaeum","Mesic grasslands","Arable land",0.0664,0.132
"Glechoma hirsuta","Mesic grasslands","Arable land",0.0253,0.932
"Gnaphalium sylvaticum","Mesic grasslands","Arable land",0.0932,0.067
"Larix decidua","Mesic grasslands","Arable land",0.0466,0.477
"Leontodon hispidus","Mesic grasslands","Arable land",0.3293,0.001
"Lepidium draba","Mesic grasslands","Arable land",0.0593,0.332
"Linaria vulgaris","Mesic grasslands","Arable land",0.1089,0.104
"Lotus corniculatus","Mesic grasslands","Arable land",0.3496,0.001
"Luzula forsteri","Mesic grasslands","Arable land",0.0469,0.295
"Luzula luzuloides","Mesic grasslands","Arable land",0.0692,0.289
"Ornithogalum sphaerocarpum","Mesic grasslands","Arable land",0.0469,0.299
"Orthilia secunda","Mesic grasslands","Arable land",0.0469,0.291
"Oxybasis chenopodioides","Mesic grasslands","Arable land",0.039,0.486
"Parthenocissus quinquefolia aggr.","Mesic grasslands","Arable land",0.0469,0.301
"Peucedanum austriacum","Mesic grasslands","Arable land",0.0469,0.3
"Phleum pratense","Mesic grasslands","Arable land",0.2019,0.003
"Phyteuma nigrum","Mesic grasslands","Arable land",0.1283,0.019
"Picris hieracioides","Mesic grasslands","Arable land",0.213,0.003
"Plantago lanceolata","Mesic grasslands","Arable land",0.4213,0.001
"Potentilla sterilis","Mesic grasslands","Arable land",0.0813,0.15
"Raphanus raphanistrum","Mesic grasslands","Arable land",0.0664,0.143
"Rhinanthus alectorolophus","Mesic grasslands","Arable land",0.0893,0.08
"Rosa canina aggr.","Mesic grasslands","Arable land",0.1585,0.014
"Saxifraga granulata","Mesic grasslands","Arable land",0.1567,0.002
"Thesium pyrenaicum","Mesic grasslands","Arable land",0.0664,0.167
"Trifolium aureum","Mesic grasslands","Arable land",0.1353,0.01
"Trifolium medium","Mesic grasslands","Arable land",0.2496,0.001
"Turritis glabra","Mesic grasslands","Arable land",0.046,0.752
"Valerianella dentata","Mesic grasslands","Arable land",0.0469,0.318
"Viola canina","Mesic grasslands","Arable land",0.1372,0.012
"Viola suavis","Mesic grasslands","Arable land",0.0342,0.682
"Acorus calamus","Wet grasslands","Arable land",0.0394,0.578
"Allium carinatum","Wet grasslands","Arable land",0.1119,0.033
"Alnus glutinosa","Wet grasslands","Arable land",0.15,0.005
"Amaranthus retroflexus","Wet grasslands","Arable land",0.0654,0.284
"Amorpha fruticosa","Wet grasslands","Arable land",0.0567,0.129
"Angelica sylvestris","Wet grasslands","Arable land",0.2899,0.001
"Aphanes arvensis","Wet grasslands","Arable land",0.0442,0.397
"Arctium tomentosum","Wet grasslands","Arable land",0.1087,0.058
"Arum maculatum","Wet grasslands","Arable land",0.0567,0.156
"Atriplex oblongifolia","Wet grasslands","Arable land",0.0472,0.358
"Betula pubescens","Wet grasslands","Arable land",0.0736,0.155
"Bidens cernua","Wet grasslands","Arable land",0.0487,0.368
"Bidens radiata","Wet grasslands","Arable land",0.0778,0.167
"Bistorta officinalis","Wet grasslands","Arable land",0.2027,0.005
"Bunias orientalis","Wet grasslands","Arable land",0.0571,0.355
"Bupleurum tenuissimum","Wet grasslands","Arable land",0.0567,0.138
"Calamagrostis pseudophragmites","Wet grasslands","Arable land",0.0621,0.239
"Calla palustris","Wet grasslands","Arable land",0.0391,0.505
"Caltha palustris","Wet grasslands","Arable land",0.3148,0.001
"Cardamine pratensis","Wet grasslands","Arable land",0.2439,0.001
"Carex acuta","Wet grasslands","Arable land",0.2009,0.001
"Carex acutiformis","Wet grasslands","Arable land",0.1301,0.038
"Carex brizoides","Wet grasslands","Arable land",0.1488,0.029
"Carex davalliana","Wet grasslands","Arable land",0.1248,0.028
"Carex hostiana","Wet grasslands","Arable land",0.1016,0.062
"Carex lepidocarpa","Wet grasslands","Arable land",0.062,0.355
"Carex pallidula","Wet grasslands","Arable land",0.0376,0.628
"Chenopodiastrum murale","Wet grasslands","Arable land",0.0567,0.149
"Chenopodium ficifolium","Wet grasslands","Arable land",0.0588,0.33
"Cicuta virosa","Wet grasslands","Arable land",0.0567,0.133
"Cirsium oleraceum","Wet grasslands","Arable land",0.1559,0.016
"Crepis setosa","Wet grasslands","Arable land",0.0511,0.268
"Crypsis aculeata","Wet grasslands","Arable land",0.0567,0.143
"Crypsis alopecuroides","Wet grasslands","Arable land",0.0567,0.143
"Cuscuta europaea","Wet grasslands","Arable land",0.0633,0.255
"Dactylorhiza incarnata","Wet grasslands","Arable land",0.03,0.827
"Dactylorhiza traunsteineri","Wet grasslands","Arable land",0.0567,0.147
"Dipsacus laciniatus","Wet grasslands","Arable land",0.0685,0.195
"Dryopteris cristata","Wet grasslands","Arable land",0.0578,0.28
"Eleocharis ovata","Wet grasslands","Arable land",0.0539,0.178
"Equisetum palustre","Wet grasslands","Arable land",0.2385,0.002
"Festuca trichophylla","Wet grasslands","Arable land",0.0567,0.13
"Frangula alnus","Wet grasslands","Arable land",0.1115,0.044
"Galium boreale","Wet grasslands","Arable land",0.1513,0.031
"Gentiana pneumonanthe","Wet grasslands","Arable land",0.1516,0.001
"Geranium palustre","Wet grasslands","Arable land",0.1051,0.069
"Glaux maritima","Wet grasslands","Arable land",0.0789,0.134
"Glyceria declinata","Wet grasslands","Arable land",0.0894,0.074
"Hottonia palustris","Wet grasslands","Arable land",0.0567,0.133
"Hyoscyamus niger","Wet grasslands","Arable land",0.053,0.214
"Inula helenium","Wet grasslands","Arable land",0.0567,0.136
"Juncus capitatus","Wet grasslands","Arable land",0.0406,0.518
"Juncus conglomeratus","Wet grasslands","Arable land",0.2002,0.002
"Juncus filiformis","Wet grasslands","Arable land",0.1965,0.002
"Juncus subnodulosus","Wet grasslands","Arable land",0.0432,0.441
"Lemna minor","Wet grasslands","Arable land",0.0881,0.069
"Leonurus cardiaca","Wet grasslands","Arable land",0.0567,0.163
"Limonium gmelinii","Wet grasslands","Arable land",0.0567,0.129
"Liparis loeselii","Wet grasslands","Arable land",0.0483,0.326
"Matricaria chamomilla","Wet grasslands","Arable land",0.0508,0.267
"Melilotus altissimus","Wet grasslands","Arable land",0.0567,0.149
"Mentha x verticillata aggr.","Wet grasslands","Arable land",0.1582,0.006
"Menyanthes trifoliata","Wet grasslands","Arable land",0.1165,0.022
"Nasturtium officinale","Wet grasslands","Arable land",0.0567,0.152
"Oenanthe silaifolia","Wet grasslands","Arable land",0.0567,0.141
"Oxybasis glauca","Wet grasslands","Arable land",0.0715,0.137
"Pedicularis palustris","Wet grasslands","Arable land",0.0816,0.089
"Plantago maritima","Wet grasslands","Arable land",0.0422,0.581
"Poa trivialis","Wet grasslands","Arable land",0.2174,0.006
"Portulaca oleracea","Wet grasslands","Arable land",0.0361,0.537
"Pulmonaria officinalis","Wet grasslands","Arable land",0.0592,0.328
"Ranunculus aconitifolius","Wet grasslands","Arable land",0.053,0.372
"Ranunculus auricomus aggr.","Wet grasslands","Arable land",0.2686,0.001
"Ranunculus lingua","Wet grasslands","Arable land",0.041,0.468
"Rorippa austriaca","Wet grasslands","Arable land",0.0518,0.506
