"Species","Disturbance.Severity","Disturbance.Frequency","Grazing.Pressure","Mowing.Frequency","Soil.Disturbance","L","M","N","R","T","RC1","RC2","RC3","RC4"
"Lycopsis arvensis",0.8513,1.9295,0.1241,0.3525,0.8189,7.5,4,5,4,6,1.208,3.2943,-0.0898,-1.8497
"Lycopus europaeus",0.461,0.6928,0.1647,0.2557,0.1353,6,9,7,7,6,-0.3024,-1.0122,1.8033,0.6069
"Lycopus exaltatus",0.5494,1.0205,0.2139,0.425,0.1835,7,8,6,7,7,0.2307,-0.5078,1.0663,0.904
"Lysimachia nemorum",0.6353,0.2001,0.1887,0.0883,0.1183,2,7,6,5,4,-1.9065,0.1124,0.9805,-1.2189
"Lysimachia nummularia",0.5512,0.6417,0.2074,0.4332,0.1762,4.5,6.5,6,6,6,-0.6013,-0.1457,0.789,0.0205
"Lysimachia punctata",0.6434,0.1856,0.1934,0.1403,0.1377,6,6.5,5.5,6,6,-1.0958,0.0821,0.4531,0.0555
"Lysimachia thyrsiflora",0.3599,0.7215,0.1198,0.2235,0.1242,6.5,9,4,4,5.5,-0.1103,-1.3156,0.9236,-1.4556
"Lysimachia vulgaris",0.4804,0.6417,0.1651,0.3296,0.1302,6,8,6,5,5,-0.3047,-0.7464,1.1704,-0.8524
"Lythrum hyssopifolia",0.6422,1.6485,0.2202,0.1474,0.3431,8,7,6,5,7,0.6707,0.593,0.4847,-0.2225
"Lythrum portula",0.5859,1.7666,0.1649,0.0601,0.2902,8,8,5,4,6,0.6864,0.1379,0.6742,-1.2613
"Lythrum salicaria",0.4354,0.9551,0.1731,0.4382,0.1372,7,8.5,6,6,5,0.2865,-1.1569,1.4148,-0.3929
"Lythrum virgatum",0.5158,1.5025,0.1777,0.6344,0.1566,8,8,6,7,6,0.9666,-0.8168,1.3905,0.4641
"Malus pumila",0.6754,0.2187,0.1938,0.128,0.174,5.5,5,5,7,6,-1.3063,0.4216,0.1258,0.4269
"Malus sylvestris",0.6848,0.0536,0.198,0.0193,0.1123,7,5,5,7,6,-1.3312,0.2227,-0.0348,0.5397
"Malva alcea",0.5852,1.2442,0.1893,0.8807,0.3073,8,4,6,7,6,0.9533,0.406,0.4021,0.3649
"Malva moschata",0.516,1.5719,0.1663,1.0308,0.3631,8,4,6,7,6,1.4789,0.2912,0.6049,0.2393
"Malva neglecta",0.8244,1.762,0.1464,0.9621,0.6789,8,5,9,7,6,1.7606,2.4757,1.5301,0.2852
"Malva sylvestris",0.8111,1.4109,0.1746,0.8945,0.4997,8,4,8,7,6,1.1464,1.9836,0.8912,0.419
"Malva thuringiaca",0.606,0.9411,0.2299,0.6162,0.1753,7,4.5,6.5,7,6,0.1077,0.1015,0.4193,0.63
"Marrubium peregrinum",0.5847,1.4179,0.3333,0.6733,0.238,9,3,6,8,8,0.9185,0.1435,-0.5291,1.9056
"Marrubium vulgare",0.7554,1.1712,0.2102,0.5341,0.3832,9,4,8,8,7,0.6667,1.3439,0.6156,1.4904
"Matricaria chamomilla",0.743,1.7697,0.2203,0.6407,0.624,7,5,5.5,5.5,6,1.2284,1.9127,0.2014,-0.7601
"Matricaria discoidea",0.7564,2.0864,0.2241,0.8328,0.5644,8,5,7,6,5,1.7674,1.6814,0.7464,-0.6642
"Medicago falcata",0.5198,1.3164,0.2914,0.7462,0.1952,8,3,3,8,6,0.6562,-0.4377,-0.8331,0.6879
"Medicago lupulina",0.5873,1.346,0.2374,0.8236,0.346,7,4,4,7.5,5,0.7702,0.2691,-0.0739,-0.0691
"Medicago minima",0.61,1.3135,0.3314,0.3969,0.3182,9,3,3,7,7,0.595,0.3597,-1.4011,0.5601
"Medicago monspeliaca",0.721,1.5244,0.3546,0.3373,0.3773,9,2,2,8,8,0.5428,1.0015,-1.9425,1.2799
"Medicago prostrata",0.4695,1.1779,0.3522,0.3404,0.1858,9,2,2,8,8,0.3018,-0.5414,-1.9008,1.4703
"Medicago x varia",0.5652,1.8294,0.1732,1.1549,0.3378,8,4,4,7,6,1.6759,0.2869,0.1665,0.0097
"Melampyrum arvense",0.5373,1.1671,0.2882,0.6682,0.2074,7,3,4,8,7,0.2897,-0.1404,-0.6561,1.1991
"Melampyrum cristatum",0.5846,0.3223,0.2504,0.2686,0.1137,6,3,3,7,7,-1.1037,0.0018,-1.07,0.7055
"Melampyrum nemorosum aggr.",0.6452,0.1285,0.2034,0.0899,0.1199,5,4,4,6,6,-1.5993,0.3471,-0.4912,-0.1056
"Melampyrum pratense",0.6574,0.0955,0.2032,0.0297,0.1369,5,5,2,3,5,-1.5594,0.4218,-1.0587,-2.207
"Melampyrum sylvaticum",0.6522,0.0659,0.201,0.018,0.1029,5,5,2,2,4,-1.6095,0.3353,-1.0947,-3.0473
"Melica ciliata aggr.",0.5012,0.7599,0.2959,0.1786,0.1944,8.6667,1.3333,2.3333,7.6667,7.6667,-0.299,-0.1417,-1.8714,1.1757
"Melica nutans",0.6855,0.0547,0.1932,0.0171,0.1092,4,4.5,3.5,6,6,-1.9664,0.459,-0.4373,-0.1781
"Melica picta",0.6567,0.1199,0.2141,0.061,0.1147,5,4,4,7,7,-1.6769,0.3423,-0.5045,0.7926
"Melica transsilvanica",0.513,0.8883,0.2985,0.317,0.1837,7,3,4,7,7,-0.2639,-0.1859,-0.9614,0.7775
"Melica uniflora",0.695,0.024,0.1965,0.0074,0.102,3,5,6,6,5,-2.1477,0.5154,0.4,-0.2636
"Melilotus albus",0.6876,1.3361,0.1737,0.6575,0.3144,9,4,4,7,6,0.8317,0.7275,-0.1521,0.1076
"Melilotus altissimus",0.5804,1.3719,0.2225,0.7691,0.2614,8,7,6,7,6,1.0616,-0.2021,0.9628,0.4294
"Melilotus dentatus",0.5024,2.0774,0.446,0.7839,0.2099,8,6.5,5,7.5,6,1.5849,-1.0598,-0.0774,0.8033
"Melilotus indicus",0.7207,1.3559,0.2407,0.5441,0.3789,9,4,6,7,8,0.8475,1.201,-0.1505,1.1851
"Melilotus officinalis",0.6744,1.3868,0.1972,0.7671,0.3223,8,4,5,7,6,0.8391,0.7513,0.0966,0.2339
"Melittis melissophyllum",0.685,0.0334,0.2021,0.0195,0.0998,6,4,4,7,7,-1.635,0.3913,-0.5482,0.823
"Mentha aquatica",0.395,1.0155,0.1931,0.3581,0.1278,7,9,7,7,5,0.2904,-1.4862,1.8148,0.2287
"Mentha arvensis",0.6151,1.3496,0.1876,0.5058,0.3926,6.5,7.5,6.5,5,5,0.6794,0.5307,1.1571,-1.0682
"Mentha longifolia",0.5331,1.0256,0.224,0.5484,0.1635,7,8,7.5,8,5,0.3461,-0.8194,1.7186,0.7956
"Mentha pulegium",0.5145,1.5099,0.3858,0.4148,0.1956,8,7,6,8,7,0.7731,-0.901,0.2964,1.5526
"Mentha x verticillata aggr.",0.5131,1.1622,0.2002,0.607,0.1373,6.5,7.5,6.5,5,5,0.4249,-0.6132,1.1644,-0.7716
"Menyanthes trifoliata",0.247,1.0813,0.1089,0.2338,0.1456,7.5,9.5,3,4,4,0.4864,-1.9938,0.9979,-2.2593
"Mercurialis annua",0.8178,1.2727,0.1829,0.6515,0.6358,7,4,7,7,7,0.7526,2.4676,0.4805,0.5435
"Mercurialis ovata",0.6513,0.0982,0.2091,0.0517,0.1009,5,4,5,7,7,-1.7002,0.345,-0.2465,0.9312
"Mercurialis perennis",0.6872,0.0507,0.1851,0.0135,0.1023,2.5,5,7,7.5,5,-2.2499,0.4335,0.9114,0.549
"Microrrhinum minus",0.7516,1.5545,0.1459,0.4634,0.6206,9,4,5,7,6,1.1217,1.9413,0.1248,-0.1459
"Milium effusum",0.6831,0.053,0.1904,0.012,0.1048,4,5.5,5.5,5.5,5,-1.8701,0.3856,0.3073,-0.5649
"Mimulus guttatus",0.5069,1.2393,0.159,0.3552,0.1762,7,9,6,6,5,0.3932,-0.8052,1.5897,-0.4649
"Minuartia glaucina",0.4238,1.6748,0.3286,0.3081,0.2136,9,2,2,8,8,0.6751,-0.6249,-1.7205,1.3654
"Minuartia rubra",0.4038,1.4535,0.3139,0.1638,0.229,9,2,2,9,7,0.3607,-0.7944,-1.5321,1.4112
"Minuartia setacea",0.3833,1.3333,0.3305,0.1706,0.2044,8,2,2,8,7,0.1124,-0.8221,-1.6733,0.9735
"Minuartia verna aggr.",0.3452,1.3916,0.282,0.095,0.1331,8.3333,3.1667,1.5,7,4.5,0.1364,-1.3869,-1.2585,-0.5647
"Minuartia viscosa",0.4567,2.0774,0.3748,0.4649,0.2546,8.5,2.5,2,4,6.5,1.2129,-0.239,-2.0332,-1.1557
"Moehringia trinervia",0.686,0.0827,0.1931,0.0231,0.1228,4,5,7,6,5,-1.8371,0.5429,0.6091,-0.1508
"Molinia caerulea aggr.",0.4668,0.5333,0.2066,0.2365,0.1512,6.5,7.0833,2.6667,5,5.6667,-0.435,-0.8249,-0.1419,-0.9677
"Montia fontana",0.3053,1.5984,0.1655,0.1397,0.2096,8,9,3,4,4,0.8492,-1.6271,0.6634,-2.2789
"Muscari neglectum",0.5153,0.8609,0.329,0.2723,0.2069,7,3,4,7,8,-0.2844,-0.0817,-1.1873,1.1942
"Myosotis arvensis",0.7546,1.3697,0.1557,0.4597,0.6659,6.5,5,6,5,6,0.7003,2.3015,0.4195,-1.0365
"Myosotis discolor",0.5456,1.1251,0.291,0.6252,0.4005,8,4,4,4,7,0.8615,0.6273,-1.0398,-0.8903
"Myosotis ramosissima",0.506,1.0212,0.2582,0.3432,0.3474,9,3,3,6,6,0.4779,0.1644,-1.1919,-0.4365
"Myosotis scorpioides aggr.",0.4728,0.9998,0.205,0.4323,0.1404,6.5357,8.1429,5.5714,5,5.4286,0.2012,-0.867,0.965,-0.7158
"Myosotis sparsiflora",0.6646,0.2328,0.1907,0.1171,0.1484,5,6,7,7,6,-1.3359,0.3057,0.8879,0.6923
"Myosotis stricta",0.5998,1.5146,0.2564,0.425,0.4984,8,3,2,6,6,0.7963,0.9423,-1.3014,-0.7716
"Myosotis sylvatica",0.6331,0.1582,0.1913,0.0752,0.1278,5.5,5.25,7,6,5,-1.3523,0.2281,0.6256,-0.1489
"Myosoton aquaticum",0.6209,0.7318,0.1754,0.307,0.2235,6,8,8,7,5,-0.3076,-0.0183,1.8194,0.2787
"Myosurus minimus",0.7683,1.929,0.1968,0.2844,0.5786,8,6,5,6,7,1.0863,1.7626,0.253,-0.1606
"Myrrhis odorata",0.5739,0.3095,0.1617,0.1057,0.1234,7,6,7,7,4,-0.865,-0.3359,1.0861,-0.1101
"Nardus stricta",0.395,1.2206,0.2892,0.299,0.1821,8,6,2,2,4,0.549,-0.9734,-1.0597,-3.1116
"Nasturtium officinale",0.303,1.2368,0.0821,0.1041,0.102,7,10,7,7,5,0.2319,-1.8851,2.4871,0.0817
"Neotinea tridentata",0.5148,0.9706,0.298,0.6495,0.1417,8,3,3,8,7,0.256,-0.5251,-1.021,1.1828
"Neotinea ustulata",0.4952,1.4052,0.2677,0.9468,0.1647,7,4,3,7,5,0.8034,-0.6709,-0.4043,-0.2151
"Neottia ovata",0.6139,0.2573,0.2019,0.1703,0.138,5.5,6,6.5,7,5,-1.1341,-0.0775,0.8086,0.2476
"Nepeta cataria",0.6438,1.0035,0.1908,0.586,0.2695,7,4,7,7,7,0.1749,0.7466,0.4788,0.9497
"Nepeta nuda",0.502,0.9451,0.2653,0.4729,0.1289,7.5,3,4,7.5,7,-0.0437,-0.4195,-0.7306,1.0389
"Neslia paniculata",0.852,1.6922,0.1419,0.4727,0.8082,7,4,5,7,6,0.9786,2.9696,0.2352,-0.3863
"Nigella arvensis",0.6149,1.5733,0.3188,0.7061,0.3216,8,3,3,8,7,0.8796,0.3277,-1.0343,0.9818
"Noccaea caerulescens",0.5022,1.0857,0.1731,0.7955,0.3016,7.5,5,4,5,5,0.8062,-0.0134,0.0516,-1.2743
"Noccaea perfoliata",0.5819,0.9221,0.2722,0.3452,0.3232,8,4,3,8,6,0.1099,0.1043,-0.7408,0.5528
"Nonea pulla",0.5454,1.7615,0.3216,0.8874,0.2155,8,3,4,8,6,1.1459,-0.2937,-0.6053,0.8043
"Ochlopoa annua",0.652,1.549,0.3742,0.7797,0.4572,7,6,8,6,5,1.244,0.7109,0.6082,-0.2359
"Ochlopoa supina",0.3979,1.239,0.3264,0.2533,0.2405,7.5,5.5,7.5,6,3.5,0.4337,-0.8901,0.5481,-0.7391
"Odontites luteus",0.5755,0.5416,0.3066,0.2374,0.1565,8,3,2,8,7,-0.5497,-0.2568,-1.5071,1.0867
"Odontites vulgaris aggr.",0.5662,1.683,0.3623,0.5522,0.3244,6,5.6667,5.3333,6,6,0.7184,0.0542,-0.0873,-0.0849
"Oenanthe aquatica",0.3935,1.2867,0.1214,0.1386,0.1526,7,10,7,7,6,0.3049,-1.3671,2.2351,0.4898
"Oenanthe fistulosa",0.4283,1.812,0.4047,0.5594,0.1047,7,9,5,7,7,1.0509,-1.7385,0.508,1.011
"Oenanthe silaifolia",0.5329,1.2606,0.2913,0.7707,0.1456,8,8,6,7,6,0.9691,-0.9577,0.9274,0.6366
"Oenothera biennis aggr.",0.626,1.3118,0.1851,0.5984,0.3386,9,4,4,6,7,0.887,0.7018,-0.4129,0.0146
"Omphalodes scorpioides",0.6845,0.1122,0.1627,0.0368,0.1034,4,6,7,7,6,-1.7999,0.3653,1.0176,0.7031
"Onobrychis arenaria",0.494,1.5037,0.3114,0.8047,0.158,8,3,3,8,7,0.8378,-0.6128,-0.9348,1.1396
"Onobrychis viciifolia",0.5038,1.5826,0.2576,1.0324,0.1889,8,4,4,8,6,1.2318,-0.5848,-0.0907,0.7577
"Ononis spinosa",0.5182,1.0753,0.2665,0.6984,0.2204,8,4,3,7,5.75,0.5605,-0.3858,-0.6633,0.0671
"Onopordum acanthium",0.787,1.4683,0.1443,0.9594,0.4145,9,4,8,7,7,1.3607,1.7138,0.9179,0.8901
"Ophioglossum vulgatum",0.4944,1.1441,0.2794,0.662,0.2359,6,7,3,7,6,0.4096,-0.7587,0.0861,0.1062
"Ophrys apifera",0.5098,1.1427,0.2908,0.8156,0.1479,7,4,3,8,6,0.4258,-0.6991,-0.5399,0.7293
"Ophrys holosericea",0.5072,1.2538,0.3029,0.9057,0.1183,8,4,3,8,7,0.7758,-0.7966,-0.6808,1.19
"Ophrys insectifera",0.5198,0.6632,0.2716,0.4957,0.1063,7,4,3,8,5,-0.3372,-0.7769,-0.5526,0.3827
"Orchis mascula",0.5707,0.389,0.2332,0.2676,0.152,6,4,3,7,6,-0.9431,-0.137,-0.6769,0.2254
"Orchis militaris",0.5114,0.9631,0.2775,0.7654,0.1143,7,4,2,8,7,0.1853,-0.7359,-0.8509,1.0383
"Orchis purpurea",0.6219,0.2165,0.2409,0.1814,0.1079,6,4,3,8,7,-1.2895,-0.0733,-0.7277,1.1821
"Origanum vulgare",0.5635,0.4812,0.2423,0.328,0.138,7,3,3,7.5,6,-0.7013,-0.1859,-0.9063,0.5037
"Orlaya grandiflora",0.562,0.9942,0.3016,0.4117,0.2397,8,3,4,9,7,0.0786,-0.0909,-0.7602,1.6845
"Ornithogalum orthophyllum",0.5196,0.9281,0.3164,0.4523,0.2295,8,2.5,2.5,7.5,7.5,0.1073,-0.1456,-1.5121,1.0127
"Ornithogalum pyramidale",0.6369,0.5673,0.241,0.4387,0.2577,8,4,3,7,7,-0.1427,0.3684,-0.8616,0.5553
"Ornithogalum sphaerocarpum",0.55,0.636,0.2154,0.4406,0.1925,6,5,5,7,6,-0.4151,-0.135,0.2011,0.3905
"Ornithogalum umbellatum",0.6098,0.4723,0.2192,0.3389,0.272,6,4,6,7,6,-0.6359,0.5284,0.1108,0.4622
"Orobanche alba",0.4949,0.9368,0.3317,0.4859,0.1608,8,3,3,8.5,7,0.0932,-0.6392,-1.1448,1.4364
"Orobanche alsatica",0.47,1.0213,0.3067,0.5184,0.1212,7,3,3,8,7,-0.0368,-0.7185,-1.0104,1.186
"Orobanche artemisiae-campestris",0.5378,1.0882,0.2044,0.3795,0.2283,8,3,3,7.5,7.5,0.1101,0.0574,-0.8219,0.9305
"Orobanche caryophyllacea",0.4696,0.9553,0.2582,0.4122,0.2306,8,3,3,8,6,0.1237,-0.4555,-0.8499,0.6221
"Orobanche elatior",0.4895,1.0124,0.2965,0.5611,0.1393,8,4,3,8,7,0.2705,-0.7652,-0.7941,1.1699
"Orobanche lutea",0.5149,1.5121,0.2557,1.0676,0.18,7,3,4,7.5,6,0.9514,-0.3253,-0.3213,0.5244
"Orobanche minor",0.5102,0.8318,0.2036,0.3378,0.2964,7,5,5,7,6,-0.0209,-0.0385,0.1892,0.2546
"Orobanche reticulata",0.4468,1.0383,0.2469,0.2436,0.1653,7,4,3.5,8,5,-0.2145,-0.8354,-0.3289,0.3079
"Orobanche teucrii",0.4737,1.4634,0.3523,0.6472,0.1668,8,2,2,8,6,0.5945,-0.7081,-1.5382,0.6501
"Orthilia secunda",0.6831,0.0372,0.1976,0.0034,0.1191,4,5,2.5,5,5,-1.9361,0.3718,-0.6296,-1.1913
"Oxalis acetosella",0.6824,0.0606,0.1896,0.0129,0.1074,1.5,5.5,6,4,5,-2.3041,0.687,0.396,-1.2579
"Oxalis corniculata",0.7664,0.7865,0.1897,0.5657,0.4745,7,4,6,7,7,0.1453,1.7684,0.1385,0.6287
"Oxalis dillenii",0.626,1.1742,0.278,0.3412,0.4648,7,5,7,7,7,0.3985,0.9565,0.2971,0.814
"Oxalis stricta",0.8125,1.1388,0.1402,0.4018,0.695,6.5,5,7,6,6,0.4407,2.6093,0.7709,-0.4588
"Oxybasis chenopodioides",0.5661,1.7011,0.2508,0.2296,0.2936,8.5,6.5,9,7.5,6.5,0.8557,0.0169,1.3491,1.2318
"Oxybasis glauca",0.8054,1.9742,0.2077,0.2956,0.5329,8,6,9,7,6,1.0644,1.8138,1.3868,0.4922
"Oxybasis rubra",0.771,1.816,0.2189,0.1745,0.4364,8,6.5,9,7,7,0.7679,1.4084,1.3358,1.0187
"Oxytropis pilosa",0.4889,1.3117,0.3617,0.5817,0.1655,9,2,2,8,7,0.6125,-0.6305,-1.7668,1.097
"Panicum capillare",0.8044,1.626,0.184,0.3424,0.479,8,4,6,6,7,0.6589,1.99,0.0494,0.104
"Papaver albiflorum",0.85,1.8861,0.115,0.2199,0.7381,7,4,4,7,7,0.7111,2.8457,-0.0078,-0.083
"Papaver dubium aggr.",0.7793,1.6015,0.1701,0.5014,0.6799,7,4,5,6.5,6.25,0.8762,2.3421,0.0683,-0.3509
"Papaver rhoeas",0.8284,1.7514,0.1501,0.5215,0.7363,7,4,6,7,6,1.0192,2.7103,0.4837,-0.1755
"Paragymnopteris marantae",0.3675,1.003,0.2876,0.3349,0.1704,9,1,2,7,9,0.2079,-0.5864,-2.0831,1.3387
"Parietaria officinalis",0.6724,0.2681,0.1842,0.1397,0.1553,5,6,7,7,7,-1.2809,0.4373,0.8417,1.0793
"Parnassia palustris",0.3174,1.1191,0.1944,0.3735,0.1189,8,8,2,7,4,0.4866,-2.0864,0.439,-0.8066
"Parthenocissus quinquefolia aggr.",0.6884,0.4151,0.1938,0.1751,0.1938,6,5,7,7,6,-0.9724,0.6031,0.6193,0.6594
"Pastinaca sativa",0.5821,1.4023,0.1585,0.979,0.3465,8,5,5,7,6,1.2612,0.3434,0.5682,0.1385
"Pedicularis palustris",0.2722,1.5358,0.1517,0.3764,0.1414,7.5,9,2,6,4,0.8257,-2.1713,0.8309,-1.4096
"Pedicularis sylvatica",0.3439,1.5604,0.2879,0.4563,0.1811,7,7,2,2,5,0.8744,-1.2215,-0.7271,-2.7636
"Persicaria amphibia",0.4027,1.6452,0.2097,0.4529,0.1928,7,10.5,5.5,6,5.5,1.0144,-1.4805,1.6958,-0.3404
"Persicaria dubia",0.6309,0.9395,0.2134,0.2556,0.2635,7,8,7,6,6,0.0562,0.1405,1.1728,0.0851
"Persicaria hydropiper",0.575,1.0339,0.2665,0.2962,0.271,7,8,7.5,5,6,0.293,-0.0305,0.9969,-0.2844
"Persicaria lapathifolia",0.7742,1.6125,0.1659,0.2888,0.5782,6.5,6.875,7.5,6,6,0.651,1.8548,1.2996,-0.2854
"Persicaria maculosa",0.7409,1.4584,0.2004,0.4543,0.5922,7,5,7,7,6,0.7383,1.8059,0.7265,0.175
"Persicaria minor",0.5988,1.1112,0.1854,0.2402,0.2931,7,8,8,5,6,0.2653,0.2821,1.4318,-0.3451
"Petasites albus",0.6548,0.1237,0.1735,0.0493,0.1046,4,6.5,5.5,6,4,-1.7181,0.0293,0.782,-0.7674
"Petasites hybridus",0.5682,0.6061,0.1542,0.3062,0.1253,7,8,8,7,5,-0.2827,-0.5182,1.8498,0.3795
"Petrorhagia prolifera",0.5553,1.402,0.3296,0.5109,0.3059,8,3,3,5,7,0.6834,0.337,-1.518,-0.4076
"Petrorhagia saxifraga",0.5353,0.8812,0.3274,0.2816,0.2053,9,2,1.5,6,7,0.0353,-0.0736,-2.1759,0.0371
"Peucedanum alsaticum",0.5308,0.8909,0.2818,0.6781,0.1377,7,4,3,8,7,0.0703,-0.5358,-0.6733,1.1543
"Peucedanum arenarium",0.4267,1.2566,0.2508,0.2699,0.2984,8,3,3,8,7,0.3066,-0.3547,-0.8886,0.9096
"Peucedanum cervaria",0.5767,0.3556,0.2516,0.2806,0.109,7,3,3,7,6,-0.8722,-0.1702,-1.0408,0.322
"Peucedanum oreoselinum",0.5717,0.3824,0.2412,0.2566,0.1634,6,4,3,6,6,-0.9103,-0.0156,-0.8395,-0.2502
"Peucedanum palustre",0.4166,0.6102,0.1368,0.2431,0.1211,7,9,4,5,6,-0.146,-1.2024,0.8804,-0.7291
"Phalaroides arundinacea",0.4564,0.9321,0.2159,0.4292,0.1489,7,8,7,7,5,0.2262,-1.0772,1.478,0.2562
"Phegopteris connectilis",0.6789,0.0533,0.1899,0.0071,0.101,2,6,5,3,4,-2.1808,0.5313,0.1968,-2.2502
"Phelipanche arenaria",0.4696,1.3992,0.2538,0.4674,0.325,7.5,2.5,1.5,8,8,0.4676,-0.0444,-1.364,1.0873
"Phelipanche purpurea",0.529,0.7571,0.275,0.3374,0.2095,9,2,2,8,7,-0.0496,-0.1765,-1.601,0.9881
"Phleum alpinum aggr.",0.3734,1.0708,0.2743,0.1407,0.1626,7,5,4,4,3,-0.0405,-1.0469,-0.4233,-2.3136
"Phleum nodosum",0.565,0.8118,0.3132,0.5895,0.2668,7.5,4,5,7,6,0.2318,0.0281,-0.4553,0.4487
"Phleum phleoides",0.502,1.0275,0.3058,0.6123,0.1678,8,3,3,7,6,0.3294,-0.4917,-1.0954,0.2794
"Phleum pratense",0.5251,1.5606,0.3811,1.0729,0.3466,7,5,7,6,5,1.478,-0.0635,0.2414,-0.2487
"Phlomis tuberosa",0.5319,0.9573,0.3004,0.5941,0.1479,7,4,4,8,7,0.0582,-0.4725,-0.5215,1.2889
"Phragmites australis",0.3821,1.0782,0.166,0.3817,0.1487,7,10,6,7,5,0.4366,-1.636,1.9333,0.0316
"Physalis alkekengi",0.7032,0.1386,0.1917,0.0847,0.1523,5.5,6,7,7.5,7,-1.3778,0.4778,0.7979,1.3517
"Phyteuma nigrum",0.5399,0.6748,0.154,0.5764,0.2756,7,5,4,5,4,0.0959,0.0788,0.1,-1.6456
"Phyteuma orbiculare",0.4435,0.6484,0.251,0.2032,0.1227,7,5,3,7,4,-0.4954,-1.1015,-0.3483,-0.5584
"Phyteuma spicatum",0.6672,0.0772,0.1877,0.0462,0.12,6,5,5,6,5,-1.436,0.2581,0.04,-0.3803
"Picea abies",0.6767,0.0721,0.1943,0.0167,0.1195,5,6,4,4,4,-1.5767,0.2656,-0.1133,-1.8711
"Picris hieracioides",0.5898,0.9936,0.2038,0.6115,0.2458,8,4,5,7,6,0.3823,0.2083,-0.0107,0.3393
"Pilosella aurantiaca",0.4522,1.1467,0.2014,0.4414,0.241,8,5,4,4,3,0.5473,-0.4741,-0.1214,-2.461
"Pilosella auriculoides",0.5121,1.1691,0.275,0.8,0.2219,8,3,2,5,7,0.7401,-0.0595,-1.4745,-0.4968
"Pilosella bauhini",0.5241,0.7182,0.2804,0.4627,0.1776,8,3,3,7,7,-0.0589,-0.2411,-1.1791,0.6665
"Pilosella caespitosa",0.5323,0.9107,0.1778,0.6982,0.2853,8,5,4,6,5,0.5968,-0.0515,0.063,-0.7511
"Pilosella cymosa",0.5066,0.5981,0.2667,0.2731,0.1572,8,3,3,7,6,-0.375,-0.4014,-1.1097,0.2728
"Pilosella densiflora",0.552,1.1064,0.2867,0.9745,0.164,8,3,3,7,7,0.7325,-0.2284,-0.9957,0.6709
"Pilosella echioides",0.4678,1.3885,0.3725,0.6027,0.2014,8,2,1,6,7,0.6084,-0.448,-2.2197,-0.0317
"Pilosella floribunda",0.4613,1.3787,0.2886,0.6416,0.1987,8,5,4,3,4,0.9345,-0.5402,-0.5776,-2.3908
"Pilosella lactucella",0.4066,1.3129,0.2945,0.3525,0.201,7.5,6,2,4,5,0.5305,-0.9853,-0.8593,-1.7889
"Pilosella officinarum",0.4984,0.8743,0.3079,0.4817,0.2293,7,4,2,5,5,0.0714,-0.3473,-1.2908,-1.2786
"Pilosella piloselloides",0.5348,0.6817,0.263,0.3289,0.1865,8.5,4,3,8,6,-0.1135,-0.4679,-0.7495,0.7118
"Pimpinella major",0.5319,0.7542,0.1565,0.6003,0.2781,7,5,6,7,5,0.1661,0.0319,0.7606,-0.0449
"Pimpinella nigra",0.5047,0.9834,0.2832,0.6506,0.1447,7,3,3,6,6,0.131,-0.3651,-1.063,-0.2085
"Pimpinella saxifraga",0.5182,0.9552,0.2391,0.6819,0.227,7,3,2.5,6.5,5,0.197,-0.1658,-0.8725,-0.5806
"Pinguicula vulgaris",0.2305,1.462,0.14,0.4207,0.0867,8,8,2,7,4.5,0.7956,-2.4227,0.7168,-0.6755
"Pinus nigra",0.7298,0.1206,0.2116,0.0208,0.1682,7,3,2.5,8.5,6.5,-1.4634,0.5725,-1.0179,1.0972
"Pinus sylvestris",0.6672,0.154,0.2078,0.037,0.1818,6.5,5,2,5,5,-1.222,0.3079,-0.9154,-1.2817
"Plantago arenaria",0.5832,1.4068,0.2398,0.5047,0.4445,9,3,3,5,7,1.0057,0.9229,-1.2441,-0.6497
"Plantago lanceolata",0.5252,1.6104,0.279,0.965,0.3291,6.5,5,5,6,5,1.1915,-0.0289,0.1806,-0.6241
"Plantago major",0.6321,1.5297,0.367,0.7032,0.3972,7.375,5.875,5.5,5.375,5.625,1.1286,0.4534,-0.1572,-0.5391
"Plantago maritima",0.4792,2.0645,0.4362,0.1969,0.2397,8,7,5,8,6,0.9942,-1.1241,-0.0281,0.9831
"Plantago media",0.5092,1.4288,0.2774,0.9975,0.2248,7,4,4,7,6,0.9721,-0.3407,-0.2778,0.2632
"Platanthera bifolia",0.6379,0.1345,0.2113,0.0964,0.1244,6,5,4,6.5,6,-1.323,0.0797,-0.2847,0.1459
"Platanthera chlorantha",0.6291,0.1938,0.2202,0.1517,0.1272,6,6,4,7,6,-1.1567,-0.156,0.0017,0.3794
"Poa badensis aggr.",0.3604,1.3972,0.3074,0.1371,0.1774,9,2,2,9,7,0.2631,-1.1,-1.5051,1.457
"Poa bulbosa",0.5598,0.942,0.3579,0.3112,0.2947,8,3,3,6,7,0.1089,0.213,-1.6449,0.1453
"Poa chaixii",0.5797,0.2728,0.1989,0.1182,0.1496,6,6,4,3,4,-0.9554,-0.0204,-0.231,-2.3868
"Poa compressa",0.5898,0.9391,0.2502,0.4991,0.264,9,3,3,7.5,6,0.3486,0.1319,-0.9532,0.3796
"Poa nemoralis",0.6803,0.0763,0.1932,0.0293,0.1149,5,5,4.5,5.5,5,-1.6664,0.3621,-0.1124,-0.6838
